;buch einfach thema;genau verstehen passiert;leben welt wahrheit;matrix ähm heißt;sehen weiß nehmen
2017-03-11_Schopferwissen_TV_Feldforschung_Imlantate_Parasiten_Fremdkorper_im_physischen_Korper_des_Menschen.transcript;0.0637973304;0.3351130482;0.1624080632;0.342195587;0.0964859711
2017-05-28_Schopferwissen_TV_Fernstudium_in_der_Ferne_-_Erfahrungsbericht_Spot_Thailand.transcript;0.0256658596;0.2823244552;0.09000345900000001;0.5327568315;0.06924939470000001
20150807_Schopferwissen_TV_Wie_aus_Gottern_Affen_wurden_-_Buchbeschreibung_Rps9SBzcQ-g.transcript;0.0497522299;0.057680872200000004;0.8802775025;0.0001982161;0.0120911794
20150807_Schopferwissen_TV_Wie_aus_Gottern_Affen_wurden_-_Julias_Buchbeschreibung_zu_dem_Buch__Qc4JmBnepQ.transcript;0.0058252427;0.2693481276;0.7242718447000001;0.0002773925;0.0002773925
20150825_Schopferwissen_TV_Anunnaki_Teil1_-_Wie_aus_Gottern_Affen_wurden_QtwTarBARF4.transcript;0.2932220178;0.3288807132;0.265487477;0.025781802700000002;0.0866279892
20190424_DRACHENTOTER_TV_0002_Wie_aus_Gottern_Affen_wurden_-_von_Thomas_adF._Veit_-_Buchvorstellung_aY4yZTf-n-w.transcript;0.000281294;0.2562587904;0.7428973277;0.000281294;0.000281294
20190425_DRACHENTOTER_TV_0003_Diese_Welt_ist_eine_Luge_-_Erkenne_die_Illusion_Luge_Manipulation_hh1_VnPfZRw.transcript;0.0499502488;0.0539303483;0.8857711443;0.000199005;0.010149253700000001
20190426_DRACHENTOTER_TV_0006_Planmaige_Vernichtung_-_Masseneinwanderung_Deutschland_-_Verwirrung_Tauschung_der_Menschen_VkoRfFX2Gpo.transcript;0.40515904420000004;0.2548188004;0.2225352113;0.0332647571;0.0842221871
20190503_DRACHENTOTER_TV_0029_Polizisten_werden_verarscht_-_Kriminell_Korruption_Betrug_Tauschung_Befehlsgehorsam_BlFIJ7My2vE.transcript;0.2;0.2;0.2;0.2;0.2
20190510_DRACHENTOTER_TV_0032_Spirituelle_Konzepte_fuhren_dich_von_dir_weg_-_Bewusstsein_ist_etwas_anderes_als_du_denkst_tGDaZ3-Qyhg.transcript;0.1815693747;0.2248744154;0.3398926035;0.031907154;0.2217564525
20190510_DRACHENTOTER_TV_0036_Person_vs._Mensch_-_Sklave_vs._Gott_-_Gehe_den_Weg_der_Wahrheit_weiter_und_bleib_nicht_stehen__upGIgtkqO3Y.transcript;0.47462788710000003;0.2060222412;0.1906244654;0.0222754491;0.1064499572
20200814_DRACHENTOTER_TV_Davy_Jones_Locker_-_Die_Seele_ist_ein_Oktopus_-_Die_Seele_ist_die_Arche_Noah_aber_nicht_fur_dich.._KxIDtFMoYSU.transcript;0.0358078603;0.2890829694;0.1580786026;0.053275109200000004;0.4637554585
20200903_DRACHENTOTER_TV_Die_Luge_ist_spannend_angenehm_verfuhrerisch_wohltuend_sympatisch_umsorgend_und_nicht_sichtbar_WO9OWc7PzDw.transcript;0.0471843946;0.2908354803;0.32984909830000003;0.23930806040000002;0.0928229665
20201021_DRACHENTOTER_TV_Die_Seele_halt_dich_ab_die_Wahrheit_sehen_zu_konnen-_Die_Seele_lebt_nicht_du_Du_schlafst_Wach_auf_Ezh8Tyo29yg.transcript;0.0350435624;0.1725072604;0.3041626331;0.1725072604;0.3157792836
20210209_DRACHENTOTER_TV_Wer_die_Info_s_von_Thomas_Veit_nicht_erkennt_wird_durch_intelligente_Programme_der_Matrix_untergehen_Y92lLF7PHpI.transcript;0.0180257511;0.23261802580000002;0.3270386266;0.2927038627;0.1296137339
20211001_DRACHENTOTER_TV_Wer_wei_was_Wahrheit_in_Wahrheit_bedeutet_hat_die_SPRACHE_als_Luge_als_Waffe_des_Bosen_entlarvt_RtcR5bE_VUM.transcript;0.10451612900000001;0.47870967740000003;0.0658064516;0.0529032258;0.2980645161
20211014_DRACHENTOTER_TV_Es_ist_einfacher_einen_Menschen_zu_belugen_als_im_begreiflich_zu_machen_das_er_belogen_wurde_anQVCYP-P94.transcript;0.11866151870000001;0.2473616474;0.1907335907;0.2267696268;0.21647361650000002
20211027_DRACHENTOTER_TV___7MxjqT6bEoE.transcript;0.040021036;0.1709702866;0.1509860636;0.0936628977;0.544359716
20211103_DRACHENTOTER_TV_Nur_DRACHEN_inFORMieren_sich_lat._CORONA__ZUschauerKREIS__griech._drakon__der_STARR_Blickende_KaQGSiZb47Y.transcript;0.033891992600000004;0.443575419;0.12327746740000001;0.08230912480000001;0.31694599630000003
20211111_DRACHENTOTER_TV_ASBEST_schutzt_vor_Strahlung_-_Krebserregend_Strahlungsschutz_5G_Krebs_entsteht_durch_die_Luge_qzkha0zXYH4.transcript;0.1612188366;0.1833795014;0.1224376731;0.0005540166;0.5324099723
20211120_DRACHENTOTER_TV_Der_einzig_wahre_WIDARstand_geht_von_Thomas_Veit_aus_BEFREIUNG__HANDELN_AUERHALB_VON_PROGRAMMEN_yuCEApg7AKo.transcript;0.0841548315;0.26516290730000003;0.2011138959;0.16936786410000002;0.2802005013
